DateTime,Entries,UniqueIPs
1557829453,6324,6512
1557831398,6330,6518
1557833293,6329,6517
1557835237,6321,6509
1557837148,6318,6508
1557839064,6317,6507
1557840974,6316,6506
1557842898,6316,6506
1557845058,6312,6502
1557846998,6308,6498
1557848918,6297,6488
1557850834,6303,6494
1557854651,6288,6478
1557856594,6287,6477
1557858489,6287,6477
1557860423,6292,6482
1557862361,6290,6480
1557864283,6287,6477
1557866194,6294,6484
1557868127,6296,6486
1557870014,6294,6485
1557871942,6285,6476
1557873880,6287,6478
1557875789,6280,6471
1557877721,6279,6469
1557879636,6279,6469
1557881556,6278,6468
1557883456,6284,6474
1557885369,6287,6479
1557887289,6290,6482
1557889238,6295,6487
1557891142,6298,6490
1557893084,6289,6481
1557894974,6289,6481
1557896919,6276,6468
1557898838,6275,6467
1557900762,6270,6460
1557902654,6264,6454
1557904600,6272,6462
1557906495,6270,6461
1557908438,6275,6466
1557910337,6277,6468
1557912258,6271,6460
1557914176,6277,6466
1557916116,6278,6467
1557918032,6275,6464
1557919938,6276,6465
1557921859,6280,6469
1557923773,6283,6472
1557925716,6277,6466
1557927613,6275,6464
1557929534,6284,6473
1557931460,6286,6475
1557933400,6296,6487
1557935328,6291,6482
1557937237,6290,6481
1557939143,6292,6484
1557941054,6290,6482
1557942997,6289,6481
1557944897,6299,6491
1557946846,6314,6506
1557948763,6316,6508
1557950685,6313,6504
1557952575,6314,6506
1557954521,6308,6500
1557956438,6303,6494
1557958341,6302,6493
1557960277,6332,6523
1557962199,6331,6523
1557964092,6337,6529
1557966012,6330,6523
1557967948,6341,6534
1557969877,6333,6526
1557973938,6330,6523
1557975855,6322,6515
1557977771,6325,6518
1557979693,6317,6510
1557981637,6314,6507
1557983531,6312,6505
1557985454,6309,6505
1557987405,6311,6507
1557989295,6309,6504
1557991475,6301,6495
1557993393,6296,6490
1557995314,6296,6490
1557997237,6291,6485
1557999379,6296,6491
1558001562,6295,6490
1558003476,6291,6486
1558007317,6294,6490
1558009251,6299,6495
1558011130,6299,6495
1558013052,6288,6484
1558014993,6285,6481
1558016924,6277,6473
1558018821,6301,6497
1558021004,6291,6487
1558023408,6266,6459
1558025319,6251,6444
1558029130,6222,6415
1558031067,6242,6435
1558032995,6239,6432
1558034914,6242,6436
1558038757,6221,6414
1558040656,6218,6411
1558042572,6222,6414
1558044522,6217,6409
1558046442,6225,6417
1558048360,6219,6411
1558050250,6214,6406
1558052179,6214,6406
1558054335,6218,6410
1558058168,6196,6388
1558060092,6203,6396
1558062023,6206,6400
1558066105,6197,6389
1558069961,6192,6384
1558071876,6195,6388
1558073795,6198,6391
1558075695,6207,6400
1558077862,6209,6404
1558079772,6215,6410
1558081701,6212,6409
1558083628,6222,6419
1558085542,6205,6402
1558087476,6211,6408
1558089402,6222,6420
1558091551,6222,6420
1558093480,6225,6424
1558095372,6237,6436
1558099210,6228,6427
1558101149,6235,6434
1558103053,6238,6437
1558104978,6242,6442
1558106913,6256,6456
1558111235,6245,6445
1558113738,6232,6432
1558115550,6234,6434
1558117452,6247,6447
1558119370,6253,6454
1558121307,6248,6450
1558123225,6242,6444
1558125158,6248,6450
1558127178,6253,6453
1558129233,6256,6457
1558131136,6259,6459
1558134403,6258,6459
1558136409,6260,6461
1558138360,6267,6469
1558140252,6266,6469
1558142173,6254,6458
1558144118,6261,6465
1558148176,6249,6451
1558150095,6251,6452
1558152264,6251,6452
1558154416,6251,6453
1558156582,6245,6446
1558158519,6247,6448
1558160433,6249,6449
1558162541,6244,6444
1558164487,6251,6451
1558166431,6252,6452
1558168337,6255,6455
1558170279,6262,6462
1558172170,6269,6469
1558176012,6261,6461
1558177939,6259,6459
1558179871,6244,6444
1558181773,6264,6465
1558183691,6278,6481
1558185613,6264,6465
1558187550,6271,6472
1558189452,6280,6481
1558191366,6279,6479
1558193291,6283,6483
1558195111,6282,6481
1558197134,6283,6482
1558199056,6299,6498
1558200992,6284,6481
1558204816,6279,6475
1558206732,6281,6477
1558208669,6282,6478
1558210573,6281,6477
1558212736,6268,6464
1558214676,6268,6465
1558216574,6269,6466
1558218491,6287,6484
1558220440,6261,6459
1558222361,6250,6447
1558224261,6263,6460
1558226172,6266,6463
1558228116,6270,6467
1558230035,6289,6486
1558231933,6285,6482
1558233869,6271,6466
1558235773,6292,6487
1558237691,6293,6488
1558239608,6299,6497
1558241552,6270,6467
1558243454,6285,6482
1558245392,6281,6480
1558247295,6294,6493
1558249227,6295,6491
1558251163,6298,6494
1558253077,6301,6497
1558254971,6295,6492
1558257139,6294,6489
1558259056,6293,6488
1558260991,6298,6493
1558262909,6290,6485
1558264834,6272,6467
1558266739,6262,6458
1558268655,6272,6468
1558270593,6265,6461
1558272494,6263,6459
1558274443,6261,6458
1558276358,6267,6464
1558278259,6271,6468
1558280191,6265,6462
1558282092,6271,6468
1558284040,6270,6467
1558285941,6269,6466
1558287857,6274,6471
1558289796,6277,6474
1558291704,6272,6469
1558293611,6276,6473
1558295574,6282,6479
1558297454,6278,6475
1558299370,6270,6468
1558301316,6271,6469
1558303239,6272,6470
1558305159,6270,6468
1558307057,6258,6456
1558308972,6257,6455
1558313074,6225,6422
1558314978,6231,6427
1558316897,6235,6428
1558318832,6227,6420
1558324573,6208,6401
1558326494,6192,6385
1558328441,6184,6377
1558330356,6168,6361
1558332274,6167,6359
1558334173,6169,6361
1558336115,6164,6354
1558338013,6157,6346
1558339935,6148,6338
1558341874,6140,6330
1558343782,6140,6329
1558345715,6139,6328
1558347609,6142,6331
1558351452,6113,6300
1558353375,6104,6290
1558355319,6095,6280
1558357235,6090,6274
1558359168,6090,6274
1558361059,6087,6272
1558362975,6090,6275
1558364917,6099,6285
1558366817,6100,6286
1558368746,6094,6281
1558372597,6083,6270
1558376430,6068,6254
1558378355,6060,6247
1558380258,6062,6249
1558382195,6056,6243
1558384114,6049,6235
1558386036,6041,6227
1558387955,6034,6220
1558389860,6028,6214
1558391773,6030,6216
1558393723,6028,6213
1558395614,6029,6214
1558397535,6036,6221
1558399476,6024,6209
1558401400,6025,6211
1558403295,6031,6217
1558405213,6025,6211
1558407154,6024,6209
1558409057,6031,6217
1558410994,6035,6221
1558412896,6033,6219
1558414826,6019,6204
1558416737,6021,6206
1558418674,6013,6198
1558420575,6008,6193
1558422496,6003,6188
1558424438,6001,6186
1558426356,5992,6177
1558428255,5984,6167
1558430193,5970,6153
1558432097,5971,6154
1558434029,5953,6135
